nlat,nlon,nmag,ndepth,ndist,nrfAmp
5.51123,6.225458,6.4,4.18123005909605,4.84874847700816,2.83718184243212
5.950968,6.543641,5.9,7.91070925332404,5.21822514579289,2.81572174896522
5.360434,3.941662,5.8,10,7.88355409328796,3.79974573730822
4.413152,4.281406,5.8,6.91009536168288,5.56711796697845,2.55569133438456
4.90826,6.256264,6.3,3.79782723837601,4.67997788427252,2.63648650238819
4.647058,3.273683,5.6,10,5.09007586846658,2.28258246962386
5.367274,3.948269,6.3,10,7.98621364510508,4.4858967428124
5.370072,3.947969,5.5,10,7.99865868302741,4.38836287966733
5.025578,6.263712,6.3,6.70528151644429,4.71247774986841,2.9530070117161
4.775026,6.162669,6.1,7.82011483099541,4.60547702502242,3.19044292074069
5.256636,4.130367,6.1,10,7.95462174718245,4.34739128497608
4.67035,3.227858,5.8,10,5.05239942016665,2.34856270887462
4.911432,3.951889,5.7,10,6.35421350337624,2.85852652757514
5.540214,6.301996,5.6,10,4.89501033347014,1.98456183942393
4.517066,4.328474,5.7,4.40623175359154,5.64207010863041,2.306385070248
4.594414,6.690737,6.3,8.97711717502623,4.91220829650136,3.16403016453459
4.595856,6.687595,6,8.50274153727602,4.90997839345033,2.59534344076173
6.078038,4.646392,5.5,10,6.02557399548096,3.52835757856095
5.789586,5.733388,6.4,8.97711717502623,4.91376421253038,3.35383585254922
4.678884,6.674701,6,6.98634424763128,4.91769272313223,2.42953515241242
4.787454,6.649682,5.9,6.08475080729472,4.92181242636154,2.19728146831377
3.864608,3.579202,5.8,10,5.02776437883413,1.82612737466601
4.69834,3.267989,6,11.0730936496245,5.10077461013407,2.914056752286
5.011748,4.203642,5.9,8.12711509291959,6.65673138046905,4.00598374603666
5.011624,4.20362,6.3,7.56304195516401,6.65641730420686,3.98363332814912
4.439798,3.235857,5.9,10,4.99536296902204,3.22612431048967
4.439896,3.23557,6.3,9.26628408029127,4.99515006635578,3.19449252730602
4.43648,3.236477,5.6,10,4.9950052198786,2.00697793098232
5.704166,4.647759,5.5,8.30294916193406,6.00463966048433,2.91905557838206
4.394954,4.280278,5.8,11.0664455096565,5.54935329308226,2.56986981770091
4.62143,6.690547,6.1,4.49899936847862,4.91795351330074,2.66936943083626
5.953962,6.469212,5.8,3.8304487659414,5.16667572551032,2.40576710813888
4.864808,6.012175,5.5,10.4795163714469,4.57331656913786,1.92188786639249
5.297798,3.964749,5.5,10,7.74384231700863,2.88987075871904
6.169468,3.435431,5.5,4.33129602773636,5.83408080619611,2.44005115045667
5.0183,4.710298,5.7,10,5.50615673326292,2.79670216527056
4.010304,6.262657,5.8,10,4.61767606952753,2.70613531511817
4.01151,6.263706,5.5,10,4.61794891883365,2.70577890740256
4.94062,6.480345,6.4,8.72502869549156,4.82529860240565,3.18781858776242
4.994578,4.813569,5.9,10,5.3360795670283,2.8087567414825
4.111774,4.209406,5.9,10,5.32117154453101,2.7253412022485
5.370858,6.455073,7.7,4.36251434774578,4.928136062166,4.90330123482311
4.861082,6.558087,5.6,6.37673065048409,4.86480919836659,2.07665531876231
3.874872,4.724628,5.9,5.01093588000018,4.97888299024274,2.1982524741724
4.83613,6.178136,5.6,7.56304195516401,4.62561511830388,2.07368158462562
3.825008,4.744506,5.6,6.52963608491131,4.95439309091874,2.1680061235074
4.553314,4.339922,6.2,4.1129180863066,5.67088559926965,2.9530286530115
5.498894,6.420141,6.3,3.69334840820698,4.94824542653504,3.09174504758933
4.55047,6.731167,7.2,8.23690200366906,4.9354827119725,4.15277859982981
6.009392,6.422749,5.7,9.60252567789128,5.1638741276674,2.72242582687326
6.030874,6.795022,5.6,5.51598341054641,5.48848607925889,2.59479087307807
4.686916,4.279908,5.5,7.68621786840241,5.89742163024088,2.60691839626232
4.603296,6.487233,5.7,10,4.7633433513755,1.88547765005
3.894296,4.681234,7.4,10,5.0056931759796,3.9582297854348
3.8957,4.679341,5.8,15.1622576928086,5.00708658954242,2.22913923068667
3.89598,4.678874,5.5,12.0211123293296,5.00740663152364,2.03728722614804
5.807884,6.436796,6,10,5.08047190086402,2.9164512580569
5.80627,6.437281,5.8,9.60252567789128,5.0800915225262,2.71297675664286
5.85446,5.131877,6.2,15.1622576928086,5.27112074743283,3.65017487267954
4.999088,4.821745,7.1,10,5.32661190135168,4.31866819794651
4.926302,6.527915,6.8,3.73467808254674,4.8568934703172,3.30798055439627
4.252828,6.791461,7,7.82011483099541,4.91753003014578,3.66140786086153
4.255474,6.79093,5.5,8.1594838786473,4.91770400705559,4.12084451537152
4.259652,6.788907,5.7,10,4.9171454409542,4.13338146844767
4.258956,6.789291,6.1,8.78989098574058,4.91727185842557,4.13196178076295
5.011066,5.986145,5.5,6.47639852180729,4.61006334354713,3.1651178534384
4.253648,6.787148,5.5,10,4.91468279128435,3.16357903867726
5.806416666,3.743123333,5.64,6.86855530143885,6.7802349521039,3.73314029044365
5.167978,6.258874,5.8,8.30482023721841,4.74928217997697,2.36932962966152
4.25746,6.786986,5.9,6.98634424763128,4.9153477525248,2.40676354325516
4.88854,4.230464,6.1,4.80126283894564,6.3081408738275,3.00950932937479
4.424896,3.876947,5.8,10,5.56254227052282,2.54889333533529
5.147472,4.238314,6,7.96639770196912,6.99236914893743,3.6027973798289
4.81342,6.591673,6,8.72502869549156,4.88034170119213,2.74715419926642
5.2488,4.133577,5.7,10,7.88847342936359,3.7311123408515
4.416898,5.609158,5.5,10,4.56276846810942,2.06581690667103
4.958342,6.405718,6,10.4795163714469,4.77865172659553,2.4121078565095
4.959292,6.404805,5.8,10,4.77828450370536,2.23191588390447
5.131434,6.264918,6.3,5.51598341054641,4.74176994638384,2.76141920905105
4.347838,3.219922,5.6,10,4.9595428400209,2.31071074729374
4.960932,6.405974,5.9,11.0730936496245,4.77942828654047,2.44517478666426
4.963002,6.405604,5.7,8.78257342607077,4.77967777833599,2.44289871601908
4.636588,3.25016,6.4,4.33773355876783,5.0638288455123,3.40803756454154
5.248834,4.134854,5.5,11.3827568663733,7.88511357879698,3.31914714526371
4.287976,3.961033,5.5,10,5.47032854688783,2.06786842348649
4.526388,3.250739,5.6,10,5.03197617578408,2.48161529818917
4.919146,3.960831,5.6,10,6.38562831296072,2.66820238315775
4.91453,6.503606,6.3,3.78011484815258,4.83603323034472,2.6984207290209
5.796126,5.206463,5.5,7.44921859773347,5.18038000865335,2.33736425785903
4.879934,6.488871,6.8,6.16048321052938,4.81749577362241,3.4831585162668
